HITId,Subject,Predicate,Object,SupportVotes,RejectVotes,FixPosition,FixValue,Kappa
40,wd:Q6548158,wdt:P136,wd:Q33999,1,2,Predicate,P106,0.04000000000000009
41,wd:Q1123629,wdt:P725,wd:Q211040,1,2,Predicate,P161,0.04000000000000009
42,wd:Q1780602,wdt:P921,wd:Q295093,1,2,Predicate,P344,0.1991101223581758
43,wd:Q610633,wdt:P2554,wd:Q1700810,0,3,Predicate,P58,0.1991101223581758
44,wd:Q2188914,wdt:P161,wd:Q2416526,0,3,Object,Q17350908,0.1991101223581758
45,wd:Q1032889,wdt:P58,wd:Q4762311,1,2,Object,Q3194791,0.1991101223581758
46,wd:Q209538,wdt:P3650,wd:Q28732983,0,3,Object,Q28732985,0.1991101223581758
47,wd:Q31202708,wdt:P3092,wd:Q4805527,0,3,Predicate,P58,0.1991101223581758
48,wd:Q2576243,wdt:P364,wd:Q1860,2,1,Subject,Q268905,0.1991101223581758
49,wd:Q4335275,wdt:P520,wd:Q52382294,2,1,Subject,Q16795448,0.1991101223581758
50,wd:Q931557,wdt:P750,wd:Q80948336,3,0,NA,NA,0.1991101223581758
51,wd:Q2235250,wdt:P161,wd:Q599673,3,0,NA,NA,0.1991101223581758
52,wd:Q696646,wdt:P3174,wd:Q1315917,3,0,NA,NA,0.1991101223581758
53,wd:Q6782400,wdt:P945,wd:Q17,2,1,Predicate,P27,0.1991101223581758
54,wd:Q6538,wdt:P119,wd:Q1792,2,1,Predicate,P19,0.1991101223581758
55,wd:Q9192,wdt:P276,wd:Q833,2,1,Predicate,P17,0.1991101223581758
56,wd:Q10623856,wdt:P20,wd:Q2096,2,1,Predicate,P19,0.1991101223581758
57,wd:Q223596,wdt:P1431,wd:Q457180,2,1,Object,Q181900,0.1991101223581758
58,wd:Q943992,wdt:P161,wd:Q160432,0,3,NA,NA,0.1991101223581758
59,wd:Q1893555,wdt:P272,wd:Q48784114,2,1,Object,Q7488442,0.1991101223581758
60,wd:Q21060270,wdt:P27,wd:Q916,2,1,Object,Q884,0.1991101223581758
61,wd:Q1288004,wdt:P1412,wd:Q13330,2,1,Object,Q1860,0.1991101223581758
47,wd:Q31202708,wdt:P3092,wd:Q4805527,0,3,Predicate,P58,0.1991101223581758
